id,class,title,medium,type,sem,indent,spell_1,spell_2,spell_3,spell_4,spell_5,tot_rec,tot_bal
1,I,Telugu Reader,Common,Text Book,Sem-I,933,933,0,0,0,0,933,0
2,I,Telugu Reader Work Book,Common,Work Book,Sem-I,933,933,0,0,0,0,933,0
3,I,English Reader,Common,Text Book,Sem-I,933,933,0,0,0,0,933,0
4,I,English Reader Work Book,Common,Work Book,Sem-I,933,933,0,0,0,0,933,0
5,I,Maths,TM SEM I,Text Book,Sem-I,933,0,933,0,0,0,933,0
6,I,Maths Work Book,SEM I,Work Book,Sem-I,933,0,933,0,0,0,933,0
7,I,Maths,TM SEM II,Text Book,Sem-II,933,0,0,0,0,933,933,0
8,I,Maths Work Book,SEM II,Work Book,Sem-II,933,0,0,0,0,933,933,0
9,II,Telugu Reader,Common,Text Book,Sem-I,933,933,0,0,0,0,933,0
10,II,Telugu Reader Work Book,Common,Work Book,Sem-I,933,933,0,0,0,0,933,0
11,II,English Reader,Common,Text Book,Sem-I,933,933,0,0,0,0,933,0
12,II,English Reader Work Book,Common,Work Book,Sem-I,933,566,367,0,0,0,933,0
13,II,Maths,TM SEM I,Text Book,Sem-I,933,0,0,933,0,0,933,0
14,II,Maths Work Book,SEM I,Work Book,Sem-I,933,933,0,0,0,0,933,0
15,II,Maths,TM SEM II,Text Book,Sem-II,933,0,0,0,0,933,933,0
16,II,Maths Work Book,SEM II,Work Book,Sem-II,933,0,0,0,0,933,933,0
17,III,Telugu Reader,Common,Text Book,Sem-I,851,851,0,0,0,0,851,0
18,III,Telugu Reader Work Book,Common,Work Book,Sem-I,851,851,0,0,0,0,851,0
19,III,English Reader,Common,Text Book,Sem-I,851,648,203,0,0,0,851,0
20,III,English Reader Work Book,Common,Work Book,Sem-I,851,851,0,0,0,0,851,0
21,III,Maths,TM SEM I,Text Book,Sem-I,851,0,851,0,0,0,851,0
22,III,Maths Work Book,SEM I,Work Book,Sem-I,851,0,0,851,0,0,851,0
23,III,EVS Text Book,TM SEM I,Text Book,Sem-I,851,851,0,0,0,0,851,0
24,III,EVS Work Book,SEM I,Work Book,Sem-I,851,851,0,0,0,0,851,0
25,III,Maths,TM SEM II,Text Book,Sem-II,851,0,0,0,0,851,851,0
26,III,Maths Work Book,SEM II,Work Book,Sem-II,851,0,0,0,0,851,851,0
27,III,EVS Text Book,TM SEM II,Text Book,Sem-II,851,0,0,0,0,851,851,0
28,III,EVS Work Book,SEM II,Work Book,Sem-II,851,0,0,0,0,851,851,0
29,IV,Telugu Reader,Common,Text Book,Sem-I,1089,1089,0,0,0,0,1089,0
30,IV,Telugu Reader Work Book,Common,Work Book,Sem-I,1089,281,808,0,0,0,1089,0
31,IV,English Reader,Common,Text Book,Sem-I,1089,1089,0,0,0,0,1089,0
32,IV,English Reader Work Book,Common,Work Book,Sem-I,1089,1089,0,0,0,0,1089,0
33,IV,Maths,TM SEM I,Text Book,Sem-I,1089,0,1089,0,0,0,1089,0
34,IV,Maths Work Book,SEM I,Work Book,Sem-I,1089,0,1089,0,0,0,1089,0
