id,udise,sch_name,tot_schools,nn_sanc,nn_amt,cw_sanc,cw_amt,acr_sanc,acr_amt,tot_sanc,tot_amt,tot_exp
1,28120204101,Aided P S Lumbesu,1,1,11.92,0,0,1,13,2,24.92,8.67 (34.8%)
2,28120202801,Aided P S Tadikonda,1,1,12,0,0,1,13,2,25,10.52 (42.08%)
3,202010,Chemuduguda,1,1,2.5,0,0,1,13.44,2,15.94,4 (25.09%)
4,202089,Chinaravikona,1,1,2.47,0,0,1,13.47,2,15.94,3.01 (18.88%)
5,202090,Chinavankadara,1,1,2.5,0,0,1,13.5,2,16,6.05 (37.79%)
6,202015,Duddukhallu,1,1,2.41,0,0,1,13.17,2,15.58,4.71 (30.24%)
7,202079,Gadivonka Dara,1,1,2.41,0,0,1,13.29,2,15.7,4.52 (28.81%)
8,202019,Goyapaka,1,1,2.5,0,0,1,13.31,2,15.81,3.84 (24.3%)
9,28120207002,Gps Jk Padu Colny,1,1,15.94,0,0,0,0,1,15.94,8.73 (54.78%)
10,28120211001,Gps Balesu,1,0,0,0,0,1,11.92,1,11.92,3.79 (31.84%)
11,28120205201,Gps Beerupadu,1,1,11.98,0,0,0,0,1,11.98,6.67 (55.67%)
12,28120204601,Gps Ch Binnidi,1,1,11.98,1,7.5,0,0,2,19.48,8.42 (43.24%)
13,28120209501,Gps Geesada,1,1,11.99,0,0,0,0,1,11.99,7.93 (66.11%)
14,28120200701,Gps Keesari,1,0,0,0,0,1,11.85,1,11.85,4.61 (38.88%)
15,28120205001,Gps Lada,1,1,11.98,0,0,0,0,1,11.98,7.03 (58.64%)
16,28120212303,Gps Medaraganda,1,1,11.97,1,10.12,0,0,2,22.1,8.46 (38.3%)
17,28120203001,Gps Pedakharja,1,0,0,0,0,1,12,1,12,5.32 (44.3%)
18,28120203901,Gps Tholukharja,1,1,11.99,0,0,1,12.99,2,24.99,8.74 (34.98%)
19,28120200301,Gps Thota,1,1,11.98,0,0,0,0,1,11.98,6.36 (53.11%)
20,28120200901,Gps Vangara,1,0,0,0,0,1,11.96,1,11.96,4.19 (35.03%)
21,28120211901,Gps(Tw) Vadaputti,1,1,15.99,0,0,1,13,2,28.99,6.84 (23.6%)
22,28120207615,Gtwas Bhadragiri,1,1,67.5,1,13.49,1,60.99,3,141.99,51.23 (36.08%)
23,202095,Ijjakaai,1,1,2.5,0,0,1,13.44,2,15.94,2.87 (18.03%)
24,202022,Iridi,1,1,2.36,0,0,1,13.43,2,15.79,3.67 (23.23%)
25,28120207607,Kgbv G.L.Puram,1,0,0,0,0,1,44,1,44,15.71 (35.71%)
26,202098,Kuntesu,1,1,2.5,0,0,1,13.43,2,15.93,2.07 (13.02%)
27,202043,Lumbesu,1,1,2.44,0,0,1,13.49,2,15.94,5.43 (34.08%)
28,202099,Mantrijyola,1,1,2.35,0,0,1,13.45,2,15.8,4.47 (28.29%)
29,28120203501,Mpps Addamguda,1,0,0,0,0,1,12,1,12,5.58 (46.55%)
30,28120209801,Mpps Bayyada,1,1,11.99,0,0,1,25.98,2,37.98,12.23 (32.19%)
31,28120211201,Mpps Diguvaderuvada,1,1,16,1,15,1,25.99,3,56.99,17.69 (31.05%)
32,28120207501,Mpps Elwinpeta,1,1,11.99,0,0,0,0,1,11.99,5.83 (48.66%)
33,28120210001,Mpps Gorada,1,1,11.98,0,0,0,0,1,11.98,7.69 (64.23%)
34,28120202401,Mpps Gorati,1,1,11.97,0,0,1,13,2,24.97,8.4 (33.64%)
35,28120203801,Mpps Iridi,1,1,12,0,0,1,37,2,49,6.86 (14%)
36,28120209201,Mpps Jarna,1,1,11.99,0,0,0,0,1,11.99,5.41 (45.1%)
37,28120204701,Mpps Kanasingi,1,1,12,0,0,0,0,1,12,8.3 (69.23%)
38,28120204901,Mpps Malluguda,1,1,15.61,0,0,1,23.84,2,39.45,11.73 (29.73%)
39,28120210801,Mpps Regidi,1,1,15.93,0,0,0,0,1,15.93,13.38 (83.97%)
40,28120207001,Mpps Savarakotapadu,1,1,12,0,0,0,0,1,12,7.73 (64.45%)
41,28120207201,Mpps Thatiseela,1,1,11.95,1,7.29,0,0,2,19.24,8.68 (45.12%)
42,28120207701,Mpps Vathada,1,1,12,0,0,1,13,2,25,8.53 (34.13%)
43,28120209301,Mpps Y Chorupalli,1,1,11.99,0,0,1,13,2,24.99,7.89 (31.57%)
44,202116,Tikkiabal,1,1,2.5,0,0,1,13.5,2,16,5.31 (33.17%)
45,202070,Vadhaputti,1,1,2.5,0,0,1,13.5,2,16,4.52 (28.28%)
46,202072,Vanakabhadi,1,1,2.4,0,0,1,13.5,2,15.9,1.83 (11.54%)
47,202074,Vangara,1,1,2.41,0,0,1,13.49,2,15.9,6.32 (39.78%)
