id,sch_name,tot_schools,rf_schools,rf_released,rf_expenditure,tot_raised,per_raised,fto_amt,apc_amt,fto_schools,fto_pending_amt,tot_received,tot_bal
1,Aided P S Lumbesu,1,1,7.13,7.48,1,100,7.09,0,1,3.69,7.13,-0.35
2,Aided P S Tadikonda,1,1,6.89,6.97,1,100,4.57,0,1,1.43,6.89,-0.08
3,Chemuduguda,1,1,2.78,2.49,1,100,1.87,0,1,1.48,2.78,0.29
4,Chinaravikona,1,1,2.69,1.96,1,100,1.37,0,1,1.07,2.69,0.73
5,Chinavankadara,1,1,4.44,4.77,1,100,4.61,0,1,2.56,4.44,-0.33
6,Duddukhallu,1,1,3.56,3.5,1,100,3.5,0,1,2.28,3.56,0.06
7,Gadivonka Dara,1,1,3.77,3.53,1,100,3.53,0,1,2.11,3.77,0.24
8,Goyapaka,1,1,3.72,2.53,1,100,2.22,0,1,0.87,3.72,1.19
9,Gps Jk Padu Colny,1,1,4.05,4.19,1,100,4.19,0,1,2.53,4.05,-0.14
10,Gps Balesu,1,1,3.18,2.95,1,100,2.95,0,1,1.56,3.18,0.23
11,Gps Beerupadu,1,1,3.08,2.82,1,100,2.74,0,1,1.46,3.08,0.26
12,Gps Ch Binnidi,1,1,4.72,4.73,1,100,4.15,0,1,2.36,4.72,-0.01
13,Gps Geesada,1,1,3.61,3.9,1,100,3.48,0,1,1.67,3.61,-0.29
14,Gps Keesari,1,1,4.6,4.03,1,100,3.71,0,1,0.89,4.6,0.57
15,Gps Lada,1,1,3.68,3.77,1,100,3.21,0,1,1.33,3.68,-0.09
16,Gps Medaraganda,1,1,4.82,4.74,1,100,4.74,0,1,3.24,4.82,0.08
17,Gps Pedakharja,1,1,4.03,4.21,1,100,3.88,0,1,1.65,4.03,-0.18
18,Gps Tholukharja,1,1,7.29,5.94,1,100,3.54,0,0,0,7.29,1.35
19,Gps Thota,1,1,2.42,2.69,1,100,2.36,0,1,1.74,2.42,-0.27
20,Gps Vangara,1,1,4.56,3.46,1,100,3.46,0,1,0.69,4.56,1.10
21,Gps(Tw) Vadaputti,1,1,5.22,2.47,1,100,2.13,0,1,1.25,5.22,2.75
22,Gtwas Bhadragiri,1,1,31.85,34.7,1,100,34.09,0,1,23.54,31.85,-2.85
23,Ijjakaai,1,1,2.75,2.17,1,100,1.43,0,1,1.07,2.75,0.58
24,Iridi,1,1,2.64,3.16,1,100,3.05,0,1,2.78,2.64,-0.52
25,Kgbv G.L.Puram,1,1,12.47,12.51,1,100,12.51,0,1,6.64,12.47,-0.04
26,Kuntesu,1,1,2.75,1.54,1,100,1.48,0,1,1.12,2.75,1.21
27,Lumbesu,1,1,4.14,4.53,1,100,4.25,0,1,2.5,4.14,-0.39
28,Mantrijyola,1,1,3.71,2.79,1,100,2.66,0,1,1.32,3.71,0.92
29,Mpps Addamguda,1,1,4.37,4.51,1,100,4.51,0,1,1.94,4.37,-0.14
30,Mpps Bayyada,1,1,10.55,8.87,1,100,8.37,0,1,3.52,10.55,1.68
31,Mpps Diguvaderuvada,1,1,14.91,13.44,1,100,13.44,0,1,7.07,14.91,1.47
32,Mpps Elwinpeta,1,1,3.53,3.51,1,100,3.51,0,1,1.77,3.53,0.02
33,Mpps Gorada,1,1,3.14,2.76,1,100,2.76,0,1,1.42,3.14,0.38
34,Mpps Gorati,1,1,7.42,4.95,1,100,3.68,0,0,0,7.42,2.47
35,Mpps Iridi,1,1,1.8,4.43,1,100,1.71,0,1,1.71,1.8,-2.63
36,Mpps Jarna,1,1,2.57,2.65,1,100,2.29,0,1,1.52,2.57,-0.08
37,Mpps Kanasingi,1,1,3.28,3.3,1,100,3.3,0,1,1.82,3.28,-0.02
38,Mpps Malluguda,1,1,10.59,7.28,1,100,6.78,0,1,2.11,10.59,3.31
39,Mpps Regidi,1,1,4.8,7.56,1,100,5.26,0.56,1,2.29,4.8,-2.76
40,Mpps Savarakotapadu,1,1,3.11,3.72,1,100,3.09,0,1,1.78,3.11,-0.61
41,Mpps Thatiseela,1,1,4.33,4.7,1,100,3.85,0,1,2.4,4.33,-0.37
42,Mpps Vathada,1,1,5.71,7.35,1,100,4.33,0,1,2.36,5.71,-1.64
43,Mpps Y Chorupalli,1,1,6.77,6.6,1,100,5.98,0,1,2.96,6.77,0.17
44,Tikkiabal,1,1,4.05,3.87,1,100,3.87,0,1,2.22,4.05,0.18
45,Vadhaputti,1,1,2.74,3.06,1,100,2.38,0,1,2.03,2.74,-0.32
46,Vanakabhadi,1,1,0.36,0.36,1,100,0.24,0,0,0,0.36,0.00
47,Vangara,1,1,4.5,4.91,1,100,4.06,0,1,1.94,4.5,-0.41
