id,udise,sch_name,tot_schools,works_sanc,works_comp,except_schools,except_works,include_schools,include_works,video_upload
1,28120204101,Aided P S Lumbesu,1,9,0,0,0,0,0,0
2,28120202801,Aided P S Tadikonda,1,8,0,0,0,0,0,0
3,202010,Chemuduguda,1,2,0,0,0,0,0,0
4,202089,Chinaravikona,1,2,0,0,0,0,0,0
5,202090,Chinavankadara,1,2,0,0,0,0,0,0
6,202015,Duddukhallu,1,2,0,0,0,0,0,0
7,202079,Gadivonka Dara,1,2,0,0,0,0,0,0
8,202019,Goyapaka,1,2,0,0,0,0,0,0
9,28120207002,Gps Jk Padu Colny,1,8,0,0,0,0,0,0
10,28120211001,Gps Balesu,1,1,0,0,0,0,0,0
11,28120205201,Gps Beerupadu,1,9,0,0,0,0,0,0
12,28120204601,Gps Ch Binnidi,1,10,0,0,0,0,0,0
13,28120209501,Gps Geesada,1,9,0,0,0,0,0,0
14,28120200701,Gps Keesari,1,1,0,0,0,0,0,0
15,28120205001,Gps Lada,1,9,2,0,0,0,0,0
16,28120212303,Gps Medaraganda,1,10,0,0,0,0,0,0
17,28120203001,Gps Pedakharja,1,1,0,0,0,0,0,0
18,28120203901,Gps Tholukharja,1,10,0,0,0,0,0,0
19,28120200301,Gps Thota,1,9,0,0,0,0,0,0
20,28120200901,Gps Vangara,1,1,0,0,0,0,0,0
21,28120211901,Gps(Tw) Vadaputti,1,10,0,0,0,0,0,0
22,28120207615,Gtwas Bhadragiri,1,9,3,0,0,0,0,0
23,202095,Ijjakaai,1,2,0,0,0,0,0,0
24,202022,Iridi,1,2,0,0,0,0,0,0
25,28120207607,Kgbv G.L.Puram,1,1,0,0,0,0,0,0
26,202098,Kuntesu,1,2,0,0,0,0,0,0
27,202043,Lumbesu,1,2,0,0,0,0,0,0
28,202099,Mantrijyola,1,2,0,0,0,0,0,0
29,28120203501,Mpps Addamguda,1,1,0,0,0,0,0,0
30,28120209801,Mpps Bayyada,1,7,0,0,0,0,0,0
31,28120211201,Mpps Diguvaderuvada,1,11,0,0,0,0,0,0
32,28120207501,Mpps Elwinpeta,1,8,3,0,0,0,0,0
33,28120210001,Mpps Gorada,1,8,0,0,0,0,0,0
34,28120202401,Mpps Gorati,1,10,0,0,0,0,0,0
35,28120203801,Mpps Iridi,1,10,0,0,0,0,0,0
36,28120209201,Mpps Jarna,1,9,1,0,0,0,0,0
37,28120204701,Mpps Kanasingi,1,8,0,0,0,0,0,0
38,28120204901,Mpps Malluguda,1,10,0,0,0,0,0,0
39,28120210801,Mpps Regidi,1,8,2,0,0,0,0,0
40,28120207001,Mpps Savarakotapadu,1,8,2,0,0,0,0,0
41,28120207201,Mpps Thatiseela,1,9,2,0,0,0,0,0
42,28120207701,Mpps Vathada,1,10,0,0,0,0,0,0
43,28120209301,Mpps Y Chorupalli,1,10,1,0,0,0,0,0
44,202116,Tikkiabal,1,2,0,0,0,0,0,0
45,202070,Vadhaputti,1,2,0,0,0,0,0,0
46,202072,Vanakabhadi,1,2,0,0,0,0,0,0
47,202074,Vangara,1,2,0,0,0,0,0,0
