id,udise,sch_name,imms_id
1,28120200104,MPPS  KAPPAKALLU,12070547
2,28120200201,GPS(TW ) A D J BHADRA,12070548
3,28120200301,GPS THOTA,12070549
4,28120200401,GPS(TW) JAPAI,12070550
5,28120200402,GPS(TW) TIKKABAI,12070551
6,28120200403,GPS(TW) ITCHAPURAM,12070552
7,28120200502,MPPS KALLITI,12070553
8,28120200701,GPS KEESARI,12070554
9,28120200801,MPPS DOLUKONA,12070555
10,28120200901,GPS VANGARA,12070556
11,28120200903,GPS(TW)  SANDHIGUDA,12070557
12,28120201101,GPS(TW) GUNADA,12070558
13,28120201102,GPS(TW)  KORATIGUDA,12070559
14,28120201201,GPS(TW) SEEMALAGUDA,12070560
15,28120201202,GPS(TW) KEDARIPURAM COL,12070561
16,28120201203,GPS(TW) CHINTAMANUGUDA,12070562
17,28120201204,GUPS KEDARIPURAM,12070563
18,28120201205,GTW ASHRAM SCHOOL(GIRLS)  K.D.COLONY,12070564
19,28120201301,GPS(TW) KUMBAYAGUDA,12070565
20,28120201302,GPS(TW) NONDRUKONA,12070566
21,28120201401,MPPS TENKASINGI,12070567
22,28120201501,GPS RELLA,12070568
23,28120201601,MPPS KOSANGIBADRA,12070569
24,28120201603,GTW ASHRAM SCHOOL(BOYS)  KOSINGABHADRA,12070570
25,28120201702,GPS(TW ) BASANGI,12070572
26,28120201708,MPPS SANDHIGUDA,12070573
27,28120201801,GPS KOTHAGUDA,12070574
28,28120201803,GTW ASHRAM SCHOOL(BOYS)  KOTHAGUDA,12070575
29,28120201901,GPS(TW) NIGARAM,12070576
30,28120202001,AIDED P S KUKKIDI,12070577
31,28120202002,GPS(TW) CHINTAMANUGUD,12070578
32,28120202003,GPS (TW) RUSHINI COLNY,12070579
33,28120202006,MPPS PATHA NIGARAM,12070580
34,28120202101,GPS(TW)  BODDIDI,12070581
35,28120202201,GPS(TW) CHAPPAGUDA,12070582
36,28120202401,MPPS GORATI,12070583
37,28120202501,GPS(TW) CH J BHADRA,12070584
38,28120202601,GPS(TW) SIKHARAPAI,12070585
39,28120202701,GPS(TW)  VAMASI,12070586
40,28120202801,AIDED P S TADIKONDA,12070587
41,28120202802,GPS(TW)  Y TADI KONDA,12070588
42,28120202803,GTW ASHRAM SCHOOL(BOYS)  TADIKONDA,12070589
43,28120202901,MPPS MANGALAPURAM,12070590
44,28120203001,GPS PEDAKHARJA,12070591
45,28120203101,GPS(TW)  BATUGUDABA,12070592
46,28120203201,GPS K SIVADA,12070593
47,28120203301,GPS(TW) PEDDAGUDA,12070594
48,28120203302,GPS(TW) SIKALABHAI,12070595
49,28120203303,GPS(TW) DERUGONDA,12070596
50,28120203401,AIDED P S  CHEMUDUGUDA,12070597
51,28120203403,MPPS PUTTAGUDA,12070598
52,28120203501,MPPS ADDAMGUDA,12070599
53,28120203502,GPS TW MURADA,12070600
54,28120203601,GPS MULABINNIDI,12070601
55,28120203701,MPPS KANNAYAGUDA,12070602
56,28120203702,GPS (TW) GAJULAGUDA,12070603
57,28120203801,MPPS IRIDI,12070604
58,28120203901,GPS THOLUKHARJA,12070605
59,28120204001,GPS(TW)  GOWDUGUDA,12070606
60,28120204101,AIDED P S LUMBESU,12070607
61,28120204201,GPS(TW) LAPPITI,12070608
62,28120204401,GPS(TW)  VADABAI,12070609
63,28120204501,MPPS VONDRUBHANGI,12070610
64,28120204601,GPS CH BINNIDI,12070611
65,28120204701,MPPS KANASINGI,12070613
66,28120204702,GPS(TW) KESARIGUDA,12070614
67,28120204801,GPS KONDUKUPPA,12070615
68,28120204901,MPPS MALLUGUDA,12070616
69,28120204902,GPS MULIGUDA,12070617
70,28120205001,GPS LADA,12070618
71,28120205201,GPS BEERUPADU,12070619
72,28120205202,GTW ASHRAM SCHOOL(BOYS)  BEERUPADU,12070620
73,28120205401,MPPS IJJAKAI,12070622
74,28120205501,GPS VADAJANGI,12070623
75,28120205601,MPPS KONTESU,12070624
76,28120205701,GPS (TW) KITHALAMBA,12070625
77,28120205801,GPS(TW)  GULLALANKA,12070626
78,28120206001,MPPS MANTRAJOLA,12070627
79,28120206101,GPS GADIVANKADHARA,12070628
80,28120206301,MPPS RAYAGHADAJAMMU,12070629
81,28120206401,GPS(TW) MULAJAMMU,12070630
82,28120206501,GPS KURASINGI,12070631
83,28120206701,MPPS VAPPANGI,12070632
84,28120206801,MPPS KONDAVADA,12070633
85,28120206901,GPS LAKKAGUDA,12070634
86,28120206903,MPPS MORAMA,12070635
87,28120207001,MPPS SAVARAKOTAPADU,12070636
88,28120207002,GPS  JK PADU COLNY,12070637
89,28120207003,"EMRS(Co-Edu),GLPuram",12072899
90,28120207101,GPS P JAMMUVALASA,12070638
91,28120207102,AIDED P S PUTTAJAMMU,12070639
92,28120207103,GPS(TW) THAMBAMGUDA,12070640
93,28120207201,MPPS THATISEELA,12070641
94,28120207202,MPPS DEPPIGUDA,12070642
95,28120207203,GPS(TW) PILLIGUDA,12070643
96,28120207301,MPPS KALIGOTTU,12070644
97,28120207302,GPS(TW) S KALIGOTTU,12070645
98,28120207401,GPS(TW) REGULAPADU,12070646
99,28120207501,MPPS ELWINPETA,12070647
100,28120207502,MPPS ELWINPETA PB COL,12070648
101,28120207504,GPS(TW) KOSAGUDA,12070650
102,28120207505,GPS ELWINPETA,12070651
103,28120207506,"RS(B),Bhadragiri",12070652
104,28120207507,"RS(PTG-Girls),Bhadragiri",12070653
105,28120207601,MPPS GADDI COL GLPURAM,12070654
106,28120207602,GPS GL PURAM,12070655
107,28120207603,AIDED ES CHINATALAGUDA ST,12070656
108,28120207604,ZPHS GLPURAM,12070657
109,28120207607,KGBV G.L.PURAM,12070658
110,28120207610,"RJC(B),Bhadragiri",12070659
111,28120207611,GOVT JUNIOR COLLEGE S T - G.L.PURAM,12070660
112,28120207612,"RJC(G),Bhadragiri",12070661
113,28120207615,GTW ASHRAM SCHOOL(GIRLS)  BHADRAGIRI,12070662
114,28120207701,MPPS VATHADA,12070663
115,28120207702,GPS(TW) PULIGUDA,12070664
