id,udise,sch_name,sch_type,sch_mgmt,lower_class,higher_class,area,status
1,28120200104,MPPS KAPPAKALLU,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
2,28120200201,GPSTW ADJ BHADRA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,2,Rural,Active
3,28120200301,GPS THOTA,PRIMARY,STATE GOVT.,1,5,Rural,Active
4,28120200401,GPSTW JAPAI,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
5,28120200402,GPSTW TIKKABAI,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,2,Rural,Active
6,28120200403,GPSTW ITCHAPURAM,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
7,28120200502,MPPS KALLITI,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
8,28120200701,GPS KEESARI,PRIMARY,STATE GOVT.,1,5,Rural,Active
9,28120200801,MPPS DOLUKONA,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
10,28120200901,GPS VANGARA,PRIMARY,STATE GOVT.,1,5,Rural,Active
11,28120200903,GPSTW SANDHIGUDA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,2,Rural,Active
12,28120201101,GPSTW GUNADA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,2,Rural,Active
13,28120201102,GPSTW KORATIGUDA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,2,Rural,Active
14,28120201201,GPSTW SEEMALAGUDA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,2,Rural,Active
15,28120201202,GPSTW KEDARIPURAM COL,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,2,Rural,Active
16,28120201203,GPSTW CHINTAMANUGUDA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,2,Rural,Active
17,28120201204,GUPS KEDARIPURAM,PRIMARY WITH UPPER PRIMARY,STATE GOVT.,1,8,Urban,Active
18,28120201205,GTWAS KEDARIPURAM COL,PR. UP PR. AND SECONDARY ONLY,TW DEPT. ASHRAM SCHOOLS,3,10,Rural,Active
19,28120201301,GPSTW KUMBAYAGUDA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
20,28120201302,GPSTW NONDRUKONA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
21,28120201401,MPPS TENKASINGI,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
22,28120201501,GPS RELLA,PRIMARY,STATE GOVT.,1,5,Rural,Active
23,28120201601,MPPS KOSANGIBADRA,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
24,28120201603,GTWAS KOSANGIBHADRA,PRIMARY WITH UPPER PRIMARY,TW DEPT. ASHRAM SCHOOLS,3,10,Rural,Active
25,28120201702,GPSTW BASANGI,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
26,28120201708,MPPS SANDHIGUDA,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
27,28120201801,GPS KOTHAGUDA,PRIMARY,STATE GOVT.,1,5,Rural,Active
28,28120201803,GTWAS KOTHAGUDA,PR. UP PR. AND SECONDARY ONLY,TW DEPT. ASHRAM SCHOOLS,3,10,Rural,Active
29,28120201901,GPSTW NIGARAM,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
30,28120202001,AIDED P S KUKKIDI,PRIMARY,PVT.AIDED,1,5,Rural,Active
31,28120202002,GPSTW CHINTAMANUGUD,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
32,28120202003,GPS TW RUSHINI COLNY,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
33,28120202006,MPPS PATHA NIGARAM,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Inactive
34,28120202101,GPSTW BODDIDI,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
35,28120202201,GPSTW CHAPPAGUDA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
36,28120202401,MPPS GORATI,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
37,28120202501,GPSTW CH J BHADRA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,2,Rural,Active
38,28120202601,GPSTW SIKHARAPAI,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
39,28120202701,GPSTW VAMASI,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,2,Rural,Active
40,28120202801,AIDED PS TADIKONDA,PRIMARY,STATE GOVT.,1,5,Rural,Active
41,28120202802,GPSTW Y TADI KONDA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,-2,2,Rural,Active
42,28120202803,GTWAS TADIKONDA,PR. UP PR. AND SECONDARY ONLY,TW DEPT. ASHRAM SCHOOLS,3,10,Rural,Active
43,28120202901,MPPS MANGALAPURAM,PRIMARY,MPP_ZPP SCHOOLS,1,5,Rural,Active
44,28120203001,GPS PEDAKHARJA,PRIMARY,STATE GOVT.,1,5,Rural,Active
45,28120203101,GPSTW BATUGUDABA,PRIMARY,GOVT TW DEPT.PRIMARY SCHOOLS,1,5,Rural,Active
46,28120203201,GPS K SIVADA,PRIMARY,STATE GOVT.,1,5,Rural,Active
